ValidTime,gep1,gep2,gep3,gep4,gep5,gep6,gep7,gep8,gep9,gep10,gep11,gep12,gep13,gep14,gep15,gep16,gep17,gep18,gep19,gep20
2017-10-06 12:00:00,75.8479309082,72.9499816895,72.6259460449,76.1719665527,71.1499328613,72.9139709473,68.809967041,73.5079650879,75.6679992676,72.7699890137,76.1899108887,73.309967041,67.3879699707,72.7699279785,72.2299499512,77.6479187012,73.309967041,71.0060119629,72.0499572754,71.527923584
2017-10-06 18:00:00,85.3700256348,82.1299743652,84.4700012207,84.4700012207,82.490020752,82.1299743652,81.2299499512,83.3899841309,81.7699890137,82.6700134277,82.309967041,82.6700134277,77.4499816895,83.7499694824,83.3899841309,82.1299743652,84.6499328613,83.0299987793,82.8499450684,84.8299865723
2017-10-07 00:00:00,88.609954834,85.7299499512,87.7999572754,86.990020752,86.6299743652,86.0899963379,84.109954834,86.809967041,84.109954834,86.4499816895,84.6499328613,85.1899719238,81.2299499512,86.0899963379,85.3700256348,84.4700012207,88.609954834,86.4499816895,86.4499816895,88.1600036621
2017-10-07 06:00:00,82.759979248,79.1419372559,80.9599914551,81.5899963379,79.0699768066,79.4299621582,76.4239196777,79.6999816895,80.0779724121,79.3039855957,80.8700256348,80.3299865723,74.7859191895,79.9700012207,80.0779724121,81.2299499512,82.8499450684,80.5819396973,80.3299865723,80.941986084
2017-10-07 12:00:00,76.2079772949,71.6899719238,73.1659240723,75.4700012207,72.4100036621,72.4639587402,69.1699523926,73.1299743652,74.9299621582,70.9700012207,77.2699890137,74.9299621582,68.4499816895,72.3919372559,74.2099914551,76.5859680176,73.8499450684,72.427947998,73.309967041,74.0299987793
2017-10-07 18:00:00,86.0899963379,81.5899963379,83.3899841309,84.8299865723,80.8700256348,82.8499450684,78.9079284668,83.9299621582,84.6859436035,83.0299987793,84.109954834,77.4499816895,82.490020752,82.490020752,84.2900085449,84.109954834,82.309967041,80.6899719238,83.3899841309,86.2699890137
2017-10-08 00:00:00,87.475982666,84.6499328613,86.6299743652,87.5299987793,83.9299621582,86.6299743652,82.525970459,87.3499450684,87.3499450684,86.809967041,86.809967041,81.7699890137,85.1899719238,85.7299499512,87.1700134277,86.990020752,85.7299499512,82.8499450684,85.3700256348,88.7900085449
2017-10-08 06:00:00,82.0399475098,78.3499450684,80.7799987793,81.0499572754,79.7900085449,80.4199523926,75.343963623,81.1399230957,81.4999694824,80.1499328613,81.9499816895,79.6639709473,79.7900085449,78.5299987793,80.761932373,83.0839538574,78.9799499512,78.8899841309,79.9700012207,81.2299499512
2017-10-08 12:00:00,76.3699645996,69.8899841309,72.427947998,74.5699768066,73.8499450684,71.8699645996,67.2079772949,72.7699890137,73.309967041,73.1299743652,76.5499572754,74.011932373,72.9499816895,69.3319396973,73.309967041,77.990020752,70.4299621582,74.7319641113,73.490020752,74.5699768066
2017-10-08 18:00:00,84.3979187012,81.0499572754,83.0299987793,83.9299621582,83.7499694824,81.5899963379,77.1079406738,83.2099914551,83.7499694824,84.4700012207,80.509979248,77.4499816895,76.7299499512,81.9499816895,84.109954834,83.9299621582,81.9499816895,82.309967041,83.5699768066,85.3700256348
2017-10-09 00:00:00,87.0799865723,83.7499694824,86.6299743652,86.6299743652,87.3499450684,85.3700256348,80.3479309082,86.4499816895,86.2699890137,88.2499694824,83.5699768066,81.5899963379,80.6899719238,85.009979248,87.5299987793,86.990020752,85.1899719238,85.009979248,86.809967041,87.8899841309
2017-10-09 06:00:00,82.2019348145,76.9100036621,80.4020080566,81.4100036621,82.490020752,78.8899841309,72.0679626465,79.4299621582,81.8419494629,81.0499572754,79.4839782715,79.3039855957,77.6299743652,75.4700012207,80.9239196777,82.1299743652,76.9100036621,81.0499572754,79.8619689941,80.509979248
2017-10-09 12:00:00,76.027923584,68.8279724121,74.227935791,74.7499694824,75.4700012207,70.5919494629,62.8879699707,71.3479309082,76.5499572754,74.3899841309,73.6700134277,74.3899230957,73.6700134277,69.1700134277,74.3899230957,74.5699768066,68.4679870605,75.4699401855,72.7699890137,72.2299499512
2017-10-09 18:00:00,80.8700256348,81.0499572754,84.6499328613,79.4299621582,82.1299743652,82.1299743652,76.3700256348,83.5699768066,85.3700256348,85.9100036621,81.7699890137,78.7099914551,78.8899841309,83.7499694824,84.6499328613,82.6700134277,83.7499694824,81.9499816895,84.4700012207,83.7499694824
2017-10-10 00:00:00,83.7499694824,83.9299621582,87.5299987793,81.5899963379,86.2699890137,84.2900085449,80.9239196777,86.2699890137,88.9700012207,88.7900085449,84.8299865723,83.2099914551,80.3299865723,86.990020752,88.0699768066,86.0899963379,86.809967041,83.0299987793,88.7900085449,86.809967041
2017-10-10 06:00:00,80.5999450684,75.7219543457,82.1299743652,78.5299987793,80.6899719238,80.6899719238,74.8399353027,79.4299621582,83.8219909668,82.1299743652,80.5999450684,79.609954834,77.5399475098,77.809967041,81.2299499512,80.509979248,78.8899841309,80.1499328613,82.0039367676,79.1600036621
2017-10-10 12:00:00,76.2079772949,68.0899353027,75.1639709473,72.5899963379,75.6499328613,74.6059875488,69.0439147949,70.9700012207,76.9100036621,75.109954834,76.1899108887,72.2659606934,75.4879455566,70.0699768066,73.1659240723,75.6859436035,71.5459899902,73.8499450684,74.227935791,70.7900085449
2017-10-10 18:00:00,78.1700134277,79.9700012207,85.3700256348,74.7499694824,83.5699768066,81.2299499512,80.1499328613,81.2299499512,85.5499572754,82.8499450684,79.7899475098,69.3499450684,82.1299743652,84.2900085449,84.109954834,79.609954834,82.490020752,72.5899963379,84.8299865723,83.5699768066
2017-10-11 00:00:00,83.3899841309,83.2099914551,87.8899841309,78.1700134277,85.1899719238,85.3700256348,83.3899841309,85.3700256348,88.4299621582,83.7499694824,80.1499328613,70.4299621582,83.0299987793,87.3499450684,86.990020752,83.2099914551,86.2699890137,68.6299743652,88.609954834,86.6299743652
2017-10-11 06:00:00,79.4119567871,75.7219543457,80.0239562988,72.5899963379,80.3299865723,81.4100036621,76.6399230957,77.7199401855,81.9499816895,81.0499572754,75.8659362793,66.6499328613,78.025970459,79.4299621582,78.8899841309,79.609954834,78.277923584,66.1819152832,80.1499328613,78.7819519043
2017-10-11 12:00:00,73.4899597168,69.1699523926,75.325958252,65.0299987793,74.9299621582,74.9299621582,71.743927002,70.4299621582,74.5699768066,77.0899963379,72.9859313965,61.9700012207,70.4659729004,71.6899719238,70.3219909668,76.2979431152,70.8079528809,59.1979064941,60.4399108887,71.941986084
2017-10-11 18:00:00,82.6700134277,79.9700012207,72.7699890137,73.309967041,78.5299987793,81.4100036621,78.7099914551,81.7699890137,83.0299987793,83.7499694824,77.0179748535,73.6700134277,79.2499694824,84.6499328613,83.1199645996,80.8700256348,81.7699890137,64.309967041,67.3700256348,81.4100036621
2017-10-12 00:00:00,84.8299865723,83.2099914551,76.009979248,75.109954834,80.6899719238,82.6700134277,81.7699890137,84.4700012207,86.4499816895,85.5499572754,76.3700256348,79.2499694824,82.9039611816,87.1700134277,86.0899963379,85.1899719238,85.5499572754,67.009979248,72.5899963379,82.6700134277
2017-10-12 06:00:00,79.6819152832,75.5239562988,70.7359313965,71.3299865723,77.4499816895,75.109954834,75.343963623,78.3499450684,80.4199523926,80.3299865723,61.9879455566,74.7499694824,75.1639709473,79.4299621582,78.2239685059,80.3299865723,77.1799621582,60.8899841309,68.3779602051,77.809967041
2017-10-12 12:00:00,73.3279724121,68.2159729004,63.6079406738,59.6299743652,72.2299499512,65.5699768066,71.8879699707,71.1499328613,74.0299987793,70.7900085449,58.7839660645,69.8899841309,67.3879699707,72.6259460449,71.1499328613,75.8299865723,69.3859558105,55.1299743652,63.427947998,73.8499450684
2017-10-12 18:00:00,83.425994873,78.2239685059,62.6899719238,69.5299987793,74.5699768066,77.809967041,81.9859313965,81.9499816895,81.0499572754,75.8299865723,60.1700134277,80.3299865723,79.7900085449,79.0699768066,81.7699890137,84.4700012207,82.8499450684,67.009979248,67.1899719238,76.1899719238
2017-10-13 00:00:00,86.6299743652,81.5899963379,64.8499450684,72.0499572754,80.3299865723,81.9499816895,86.0899963379,85.9100036621,85.1899719238,79.7900085449,62.1499328613,82.309967041,83.0299987793,82.309967041,85.5499572754,87.7099914551,85.9100036621,70.7900085449,73.8499450684,74.7499694824
2017-10-13 06:00:00,80.5999450684,72.9859313965,59.4499816895,67.3700256348,77.2699890137,75.2900085449,80.3839416504,78.8899841309,79.6459655762,75.4700012207,61.6279602051,77.143951416,78.0079650879,76.009979248,78.8899841309,80.8700256348,77.1799621582,64.3639831543,69.8899841309,70.9519958496
